PPI	ORF1	ORF2	 Gene1	 Gene2	Log2(R) P1	Log2(R) P2	I-score
YKL165C_YML012W	YKL165C	YML012W	MCD4	ERV25	0.342355818	0.339932899	-0.633868382
YKL171W_YNL229C	YKL171W	YNL229C	NNK1	URE2	NA	0.642881953	NA
YKL172W_YDR060W	YKL172W	YDR060W	EBP2	MAK21	NA	0.707606611	1.29195228
YKL172W_YFR001W	YKL172W	YFR001W	EBP2	LOC1	NA	0.289715438	NA
YKL172W_YLR196W	YKL172W	YLR196W	EBP2	PWP1	NA	0.765763874	1.036179666
YKL172W_YLR449W	YKL172W	YLR449W	EBP2	FPR4	NA	1.067185505	0.891023123
YKL172W_YNL002C	YKL172W	YNL002C	EBP2	RLP7	NA	NA	0.689733351
YKL172W_YNL255C	YKL172W	YNL255C	EBP2	GIS2	NA	0.743426143	NA
YKL172W_YOL077C	YKL172W	YOL077C	EBP2	BRX1	NA	0.641755909	-0.032918858
YKL172W_YOR206W	YKL172W	YOR206W	EBP2	NOC2	NA	0.782673369	NA
YKL172W_YOR294W	YKL172W	YOR294W	EBP2	RRS1	NA	NA	2.206726914
YKL181W_YBL068W	YKL181W	YBL068W	PRS1	PRS4	0.177263749	0.572942588	-0.816399906
YKL181W_YMR291W	YKL181W	YMR291W	PRS1	TDA1	0.177263749	0.292911357	NA
YKL181W_YOL061W	YKL181W	YOL061W	PRS1	PRS5	0.177263749	0.724726166	-0.833512252
YKL185W_YPL181W	YKL185W	YPL181W	ASH1	CTI6	0.03612159	0.607856443	NA
YKL190W_YKL159C	YKL190W	YKL159C	CNB1	RCN1	0.902719465	NA	NA
YKL190W_YLR433C	YKL190W	YLR433C	CNB1	CNA1	0.902719465	0.357474037	0.44996416
YKL190W_YML057W	YKL190W	YML057W	CNB1	CMP2	0.902719465	0.610365387	0.400737763
YKL191W_YDR385W	YKL191W	YDR385W	DPH2	EFT2	0.431528093	0.632442547	-0.383664199
YKL197C_YOL044W	YKL197C	YOL044W	PEX1	PEX15	0.33818658	0.381079924	NA
YKR007W_YBR077C	YKR007W	YBR077C	MEH1	SLM4	0.949725169	0.891728907	-0.278796476
YKR007W_YEL013W	YKR007W	YEL013W	MEH1	VAC8	0.949725169	0.6331655	0.330669964
YKR007W_YGR163W	YKR007W	YGR163W	MEH1	GTR2	0.949725169	0.930851374	0.012546927
YKR007W_YML121W	YKR007W	YML121W	MEH1	GTR1	0.949725169	0.728767639	0.104211527
YKR014C_YOR089C	YKR014C	YOR089C	YPT52	VPS21	1.339863119	1.219076564	NA
YKR014C_YOR370C	YKR014C	YOR370C	YPT52	MRS6	1.339863119	0.519928511	NA
YKR020W_YNL255C	YKR020W	YNL255C	VPS51	GIS2	0.463430522	0.743426143	NA
YKR026C_YGR083C	YKR026C	YGR083C	GCN3	GCD2	0.450618493	0.6300338	0.055757158
YKR026C_YNL085W	YKR026C	YNL085W	GCN3	MKT1	0.450618493	0.350857625	NA
YKR034W_YKR034W	YKR034W	YKR034W	DAL80	DAL80	NA	NA	NA
YKR034W_YNL229C	YKR034W	YNL229C	DAL80	URE2	NA	0.642881953	NA
YKR035W-A_YKR035W-A	YKR035W-A	YKR035W-A	DID2	DID2	0.479816466	0.479816466	-1.145734934
YKR035W-A_YLR025W	YKR035W-A	YLR025W	DID2	SNF7	0.479816466	NA	0.046232823
YKR035W-A_YNL265C	YKR035W-A	YNL265C	DID2	IST1	0.479816466	0.60811322	0.406248849
YKR048C_YBR267W	YKR048C	YBR267W	NAP1	REI1	0.92354636	0.971047342	0.355106588
YKR048C_YCL037C	YKR048C	YCL037C	NAP1	SRO9	0.92354636	0.72255521	-0.124729492
YKR048C_YDR162C	YKR048C	YDR162C	NAP1	NBP2	0.92354636	NA	0.225605207
YKR048C_YKR048C	YKR048C	YKR048C	NAP1	NAP1	0.92354636	0.92354636	0.38079518
YKR048C_YLR133W	YKR048C	YLR133W	NAP1	CKI1	0.92354636	0.271289634	0.267413329
YKR048C_YMR139W	YKR048C	YMR139W	NAP1	RIM11	0.92354636	0.848902259	-0.529151915
YKR048C_YNL078W	YKR048C	YNL078W	NAP1	NIS1	0.92354636	0.168367482	NA
YKR048C_YOL012C	YKR048C	YOL012C	NAP1	HTZ1	0.92354636	0.299720694	NA
YKR053C_YLR181C	YKR053C	YLR181C	YSR3	VTA1	NA	0.342294361	NA
YKR072C_YKL088W	YKR072C	YKL088W	SIS2	CAB3	0.481499071	NA	0.198525728
YKR072C_YML016C	YKR072C	YML016C	SIS2	PPZ1	0.481499071	0.802798042	0.186592821
YKR097W_YKR097W	YKR097W	YKR097W	PCK1	PCK1	NA	NA	-1.293559702
YLL001W_YLL001W	YLL001W	YLL001W	DNM1	DNM1	0.057251583	0.057251583	0.251005316
YLL008W_YLL034C	YLL008W	YLL034C	DRS1	RIX7	NA	0.386536293	NA
YLL008W_YPL043W	YLL008W	YPL043W	DRS1	NOP4	NA	0.417997029	NA
YLL008W_YPR016C	YLL008W	YPR016C	DRS1	TIF6	NA	0.290010849	NA
YLL021W_YHR158C	YLL021W	YHR158C	SPA2	KEL1	NA	0.242747225	-0.12535233
YLL021W_YLL021W	YLL021W	YLL021W	SPA2	SPA2	NA	NA	-0.505116353
YLL021W_YOR231W	YLL021W	YOR231W	SPA2	MKK1	NA	0.236338275	NA
YLL022C_YNL031C	YLL022C	YNL031C	HIF1	HHT2	0.52604851	0.354156414	-0.046082456
YLL028W_YLR221C	YLL028W	YLR221C	TPO1	RSA3	0.199693744	0.480249844	NA
YLL028W_YNL110C	YLL028W	YNL110C	TPO1	NOP15	0.199693744	0.880663271	NA
YLL028W_YOR153W	YLL028W	YOR153W	TPO1	PDR5	0.199693744	0.528932027	0.266915811
YLL031C_YLR350W	YLL031C	YLR350W	GPI13	ORM2	-0.178996912	1.158643491	-0.065559443
YLL034C_YLL034C	YLL034C	YLL034C	RIX7	RIX7	0.386536293	0.386536293	0.54687098
YLL034C_YLR449W	YLL034C	YLR449W	RIX7	FPR4	0.386536293	1.067185505	NA
YLL034C_YOR206W	YLL034C	YOR206W	RIX7	NOC2	0.386536293	0.782673369	NA
YLR006C_YDL235C	YLR006C	YDL235C	SSK1	YPD1	0.356609964	0.31119286	-0.196983125
YLR006C_YNR031C	YLR006C	YNR031C	SSK1	SSK2	0.356609964	0.424293221	-0.740239439
YLR025W_YDR486C	YLR025W	YDR486C	SNF7	VPS60	NA	0.778158463	0.191657977
YLR025W_YKL002W	YLR025W	YKL002W	SNF7	DID4	NA	0.609017135	0.133183975
YLR025W_YKL041W	YLR025W	YKL041W	SNF7	VPS24	NA	0.34917391	-0.598346826
YLR025W_YKR035W-A	YLR025W	YKR035W-A	SNF7	DID2	NA	0.479816466	-1.252547441
YLR025W_YLR025W	YLR025W	YLR025W	SNF7	SNF7	NA	NA	-1.561331392
YLR025W_YLR181C	YLR025W	YLR181C	SNF7	VTA1	NA	0.342294361	-1.308795038
YLR028C_YDR028C	YLR028C	YDR028C	ADE16	REG1	0.630895799	-0.200065222	-0.385171398
YLR028C_YMR120C	YLR028C	YMR120C	ADE16	ADE17	0.630895799	0.249105517	0.367439716
YLR045C_YLR045C	YLR045C	YLR045C	STU2	STU2	0.519964703	0.519964703	0.580703167
YLR045C_YPL269W	YLR045C	YPL269W	STU2	KAR9	0.519964703	0.254734836	NA
YLR056W_YHR007C	YLR056W	YHR007C	ERG3	ERG11	-0.209232532	-0.16869028	-0.19287149
YLR056W_YLR056W	YLR056W	YLR056W	ERG3	ERG3	-0.209232532	-0.209232532	1.013766049
YLR056W_YNL255C	YLR056W	YNL255C	ERG3	GIS2	-0.209232532	0.743426143	NA
YLR079W_YLR210W	YLR079W	YLR210W	SIC1	CLB4	0.402209128	0.236631301	NA
YLR094C_YNL197C	YLR094C	YNL197C	GIS3	WHI3	0.267827213	0.238653836	NA
YLR100W_YHR072W	YLR100W	YHR072W	ERG27	ERG7	0.115546325	0.082995672	-0.330755312
YLR110C_YLR350W	YLR110C	YLR350W	CCW12	ORM2	0.687524054	1.158643491	1.117728199
YLR113W_YLR248W	YLR113W	YLR248W	HOG1	RCK2	0.911914373	0.652014319	0.801249863
YLR113W_YMR172W	YLR113W	YMR172W	HOG1	HOT1	0.911914373	0.472889534	NA
YLR117C_YLR424W	YLR117C	YLR424W	CLF1	SPP382	0.501028579	0.433612419	NA
YLR129W_YCR057C	YLR129W	YCR057C	DIP2	PWP2	0.2913791	0.512367267	0.630659995
YLR129W_YMR128W	YLR129W	YMR128W	DIP2	ECM16	0.2913791	0.548745226	NA
YLR133W_YKR048C	YLR133W	YKR048C	CKI1	NAP1	0.271289634	0.92354636	-1.004329921
YLR170C_YPR029C	YLR170C	YPR029C	APS1	APL4	NA	0.134033911	-0.470379211
YLR172C_YOR133W	YLR172C	YOR133W	DPH5	EFT1	0.742504905	0.818799493	0.528485957
YLR182W_YNL309W	YLR182W	YNL309W	SWI6	STB1	0.207955401	0.048316879	NA
YLR182W_YOR083W	YLR182W	YOR083W	SWI6	WHI5	0.207955401	0.454884517	NA
YLR191W_YDL065C	YLR191W	YDL065C	PEX13	PEX19	0.625853733	0.700993514	-0.673319377
YLR191W_YOL147C	YLR191W	YOL147C	PEX13	PEX11	0.625853733	0.340416759	-0.34755586
YLR200W_YGR078C	YLR200W	YGR078C	YKE2	PAC10	0.5347631	0.723522347	-0.264240971
YLR200W_YML094W	YLR200W	YML094W	YKE2	GIM5	0.5347631	0.696993562	0.864544175
YLR200W_YNL153C	YLR200W	YNL153C	YKE2	GIM3	0.5347631	0.423421544	-0.025062937
YLR216C_YOR027W	YLR216C	YOR027W	CPR6	STI1	1.331257632	0.655563897	NA
YLR238W_YPR110C	YLR238W	YPR110C	FAR10	RPC40	NA	0.393351293	NA
YLR250W_YNL255C	YLR250W	YNL255C	SSP120	GIS2	0.353441354	0.743426143	NA
YLR258W_YFR015C	YLR258W	YFR015C	GSY2	GSY1	0.676182462	0.625708008	-0.155442096
YLR258W_YKR058W	YLR258W	YKR058W	GSY2	GLG1	0.676182462	NA	-0.67031641
YLR258W_YLR258W	YLR258W	YLR258W	GSY2	GSY2	0.676182462	0.676182462	0.261385239
YLR258W_YMR139W	YLR258W	YMR139W	GSY2	RIM11	0.676182462	0.848902259	NA
YLR262C_YOR089C	YLR262C	YOR089C	YPT6	VPS21	0.408293632	1.219076564	NA
YLR262C_YOR370C	YLR262C	YOR370C	YPT6	MRS6	0.408293632	0.519928511	-0.514661262
YLR291C_YEL051W	YLR291C	YEL051W	GCD7	VMA8	0.619819504	0.527254845	-1.227784595
YLR291C_YGR083C	YLR291C	YGR083C	GCD7	GCD2	0.619819504	0.6300338	0.211271566
YLR291C_YKR026C	YLR291C	YKR026C	GCD7	GCN3	0.619819504	0.450618493	-0.34997678
YLR291C_YLR438C-A	YLR291C	YLR438C-A	GCD7	LSM3	0.619819504	0.919337952	NA
YLR291C_YPL070W	YLR291C	YPL070W	GCD7	MUK1	0.619819504	0.623185018	NA
YLR305C_YOR181W	YLR305C	YOR181W	STT4	LAS17	NA	0.135178981	NA
YLR319C_YLR319C	YLR319C	YLR319C	BUD6	BUD6	-0.021027028	-0.021027028	-0.611580843
YLR324W_YLR324W	YLR324W	YLR324W	PEX30	PEX30	0.585560235	0.585560235	0.141292313
YLR326W_YNL323W	YLR326W	YNL323W	YLR326W	LEM3	0.434537186	0.326292855	NA
YLR328W_YLR328W	YLR328W	YLR328W	NMA1	NMA1	0.349377873	0.349377873	0.06214709
YLR335W_YGL172W	YLR335W	YGL172W	NUP2	NUP49	0.481136575	NA	NA
YLR337C_YHR114W	YLR337C	YHR114W	VRP1	BZZ1	0.505580967	0.419964517	-0.199568065
YLR337C_YMR032W	YLR337C	YMR032W	VRP1	HOF1	0.505580967	0.097743115	NA
YLR337C_YMR109W	YLR337C	YMR109W	VRP1	MYO5	0.505580967	0.456482294	-0.267374398
YLR337C_YOR181W	YLR337C	YOR181W	VRP1	LAS17	0.505580967	0.135178981	-0.042965702
YLR345W_YLR257W	YLR345W	YLR257W	YLR345W	YLR257W	0.477395572	0.88299379	-0.78403833
YLR350W_YLR350W	YLR350W	YLR350W	ORM2	ORM2	1.158643491	1.158643491	1.058286302
YLR357W_YMR033W	YLR357W	YMR033W	RSC2	ARP9	0.530488518	NA	NA
YLR360W_YPR079W	YLR360W	YPR079W	VPS38	MRL1	0.360557907	0.918169463	-0.438574833
YLR370C_YBR234C	YLR370C	YBR234C	ARC18	ARC40	0.756479562	0.615961767	NA
YLR370C_YKL013C	YLR370C	YKL013C	ARC18	ARC19	0.756479562	0.648221252	0.24400752
YLR370C_YMR109W	YLR370C	YMR109W	ARC18	MYO5	0.756479562	0.456482294	-0.62721089
YLR370C_YNR035C	YLR370C	YNR035C	ARC18	ARC35	0.756479562	0.377195569	0.221663417
YLR370C_YOR181W	YLR370C	YOR181W	ARC18	LAS17	0.756479562	0.135178981	NA
YLR378C_YPL094C	YLR378C	YPL094C	SEC61	SEC62	NA	0.293885433	0.845264309
YLR386W_YFR021W	YLR386W	YFR021W	VAC14	ATG18	0.527191776	0.724795245	NA
YLR397C_YLR397C	YLR397C	YLR397C	AFG2	AFG2	0.611838854	0.611838854	-0.714454919
YLR409C_YCR057C	YLR409C	YCR057C	UTP21	PWP2	0.583326785	0.512367267	NA
YLR421C_YOR117W	YLR421C	YOR117W	RPN13	RPT5	0.936877932	NA	NA
YLR421C_YOR261C	YLR421C	YOR261C	RPN13	RPN8	0.936877932	0.786388877	0.32253683
YLR424W_YOR357C	YLR424W	YOR357C	SPP382	SNX3	0.433612419	0.768378217	NA
YLR425W_YPL256C	YLR425W	YPL256C	TUS1	CLN2	NA	0.199538575	NA
YLR432W_YLR432W	YLR432W	YLR432W	IMD3	IMD3	0.175855867	0.175855867	-0.064976373
YLR432W_YML056C	YLR432W	YML056C	IMD3	IMD4	0.175855867	0.231210912	0.151674088
YLR447C_YGR020C	YLR447C	YGR020C	VMA6	VMA7	-0.151090462	0.334854352	0.022064349
YLR447C_YGR105W	YLR447C	YGR105W	VMA6	VMA21	-0.151090462	0.344368608	0.05499315
YLR447C_YOR270C	YLR447C	YOR270C	VMA6	VPH1	-0.151090462	0.587883105	0.072322279
YLR450W_YHR133C	YLR450W	YHR133C	HMG2	NSG1	0.277878859	0.395459446	0.486231734
YML001W_YOR089C	YML001W	YOR089C	YPT7	VPS21	0.613762563	1.219076564	NA
YML001W_YOR370C	YML001W	YOR370C	YPT7	MRS6	0.613762563	0.519928511	-0.95531319
YML007W_YBR216C	YML007W	YBR216C	YAP1	YBP1	0.593220249	0.381732866	-0.210202217
YML012W_YAR002C-A	YML012W	YAR002C-A	ERV25	ERP1	0.339932899	0.546729174	0.428121517
YML012W_YGL002W	YML012W	YGL002W	ERV25	ERP6	0.339932899	NA	0.059234857
YML012W_YHR039C	YML012W	YHR039C	ERV25	MSC7	0.339932899	0.010630424	-0.27060911
YML012W_YHR110W	YML012W	YHR110W	ERV25	ERP5	0.339932899	0.36987977	0.139495746
YML012W_YLR378C	YML012W	YLR378C	ERV25	SEC61	0.339932899	NA	0.477679657
YML013W_YGR048W	YML013W	YGR048W	UBX2	UFD1	0.366020267	0.777717337	-0.130879745
YML013W_YML013W	YML013W	YML013W	UBX2	UBX2	0.366020267	0.366020267	-0.490001873
YML014W_YNL255C	YML014W	YNL255C	TRM9	GIS2	0.384581831	0.743426143	NA
YML016C_YKL088W	YML016C	YKL088W	PPZ1	CAB3	0.802798042	NA	0.010900784
YML016C_YKR072C	YML016C	YKR072C	PPZ1	SIS2	0.802798042	0.481499071	0.28980548
YML016C_YOR054C	YML016C	YOR054C	PPZ1	VHS3	0.802798042	NA	0.290844199
YML017W_YOR204W	YML017W	YOR204W	PSP2	DED1	0.61417614	NA	0.976544928
YML031W_YDL088C	YML031W	YDL088C	NDC1	ASM4	0.362043718	0.104077695	0.035492747
YML031W_YFR002W	YML031W	YFR002W	NDC1	NIC96	0.362043718	NA	0.450435517
YML031W_YML103C	YML031W	YML103C	NDC1	NUP188	0.362043718	0.57017564	NA
YML031W_YMR153W	YML031W	YMR153W	NDC1	NUP53	0.362043718	0.476348423	1.257881579
YML035C_YML035C	YML035C	YML035C	AMD1	AMD1	0.638571409	0.638571409	0.570559403
YML051W_YML051W	YML051W	YML051W	GAL80	GAL80	0.278664718	0.278664718	NA
YML051W_YOR197W	YML051W	YOR197W	GAL80	MCA1	0.278664718	0.770252094	NA
YML056C_YLR432W	YML056C	YLR432W	IMD4	IMD3	0.231210912	0.175855867	-0.350392088
YML056C_YML056C	YML056C	YML056C	IMD4	IMD4	0.231210912	0.231210912	0.119057307
YML058W-A_YMR105C	YML058W-A	YMR105C	HUG1	PGM2	2.611237053	1.340283998	-0.337700688
YML067C_YAL042W	YML067C	YAL042W	ERV41	ERV46	0.381749225	NA	0.476196171
YML067C_YDR238C	YML067C	YDR238C	ERV41	SEC26	0.381749225	0.548325306	0.094665266
YML067C_YML067C	YML067C	YML067C	ERV41	ERV41	0.381749225	0.381749225	-0.82582163
YML067C_YNL287W	YML067C	YNL287W	ERV41	SEC21	0.381749225	0.086281943	NA
YML072C_YLR413W	YML072C	YLR413W	TCB3	YLR413W	0.210352647	-0.00678643	1.844470007
YML072C_YPL221W	YML072C	YPL221W	TCB3	FLC1	0.210352647	0.074414597	-1.045939673
YML081C-A_YDR377W	YML081C-A	YDR377W	ATP18	ATP17	0.260322487	0.500540794	-1.514834063
YML092C_YGR135W	YML092C	YGR135W	PRE8	PRE9	0.937335472	0.708508161	-0.074979766
YML092C_YOR362C	YML092C	YOR362C	PRE8	PRE10	0.937335472	1.228401095	0.493397275
YML094W_YLR200W	YML094W	YLR200W	GIM5	YKE2	0.696993562	0.5347631	1.68530471
YML112W_YJL006C	YML112W	YJL006C	CTK3	CTK2	0.430313932	NA	NA
YMR010W_YBL017C	YMR010W	YBL017C	YMR010W	PEP1	0.322385849	0.235719403	-0.065405335
YMR010W_YOR069W	YMR010W	YOR069W	YMR010W	VPS5	0.322385849	0.556890436	-0.113922248
YMR026C_YOL044W	YMR026C	YOL044W	PEX12	PEX15	0.39449181	0.381079924	NA
YMR026C_YOL147C	YMR026C	YOL147C	PEX12	PEX11	0.39449181	0.340416759	-0.755496736
YMR032W_YOR181W	YMR032W	YOR181W	HOF1	LAS17	0.097743115	0.135178981	NA
YMR033W_YGR275W	YMR033W	YGR275W	ARP9	RTT102	NA	0.791089651	0.521715898
YMR033W_YMR072W	YMR033W	YMR072W	ARP9	ABF2	NA	1.00083701	NA
YMR033W_YPL129W	YMR033W	YPL129W	ARP9	TAF14	NA	0.386090115	NA
YMR054W_YPR036W	YMR054W	YPR036W	STV1	VMA13	0.196292988	0.353816108	0.138382182
YMR070W_YMR070W	YMR070W	YMR070W	MOT3	MOT3	0.070587333	0.070587333	-1.75517492
YMR093W_YGR128C	YMR093W	YGR128C	UTP15	UTP8	0.639105069	0.733736304	0.389921016
YMR093W_YHR196W	YMR093W	YHR196W	UTP15	UTP9	0.639105069	0.77941806	NA
YMR096W_YMR096W	YMR096W	YMR096W	SNZ1	SNZ1	NA	NA	-0.097507932
YMR105C_YML058W-A	YMR105C	YML058W-A	PGM2	HUG1	1.340283998	2.611237053	-0.395730889
YMR109W_YBR234C	YMR109W	YBR234C	MYO5	ARC40	0.456482294	0.615961767	-0.231966972
YMR109W_YGL242C	YMR109W	YGL242C	MYO5	YGL242C	0.456482294	NA	0.488221016
YMR109W_YHR114W	YMR109W	YHR114W	MYO5	BZZ1	0.456482294	0.419964517	-0.541847813
YMR109W_YIL062C	YMR109W	YIL062C	MYO5	ARC15	0.456482294	0.470923256	0.128705764
YMR109W_YKL013C	YMR109W	YKL013C	MYO5	ARC19	0.456482294	0.648221252	0.285705439
YMR109W_YLR337C	YMR109W	YLR337C	MYO5	VRP1	0.456482294	0.505580967	0.640274517
YMR109W_YMR109W	YMR109W	YMR109W	MYO5	MYO5	0.456482294	0.456482294	0.27666102
YMR109W_YOR181W	YMR109W	YOR181W	MYO5	LAS17	0.456482294	0.135178981	-0.196428105
YMR109W_YOR247W	YMR109W	YOR247W	MYO5	SRL1	0.456482294	0.053904995	NA
YMR125W_YPL178W	YMR125W	YPL178W	STO1	CBC2	0.719185364	0.625496576	0.34888928
YMR128W_YMR229C	YMR128W	YMR229C	ECM16	RRP5	0.548745226	0.547479938	NA
YMR128W_YOR294W	YMR128W	YOR294W	ECM16	RRS1	0.548745226	NA	NA
YMR134W_YJL117W	YMR134W	YJL117W	YMR134W	PHO86	0.384145383	0.878236387	0.421592456
YMR139W_YMR291W	YMR139W	YMR291W	RIM11	TDA1	0.848902259	0.292911357	NA
YMR139W_YOL059W	YMR139W	YOL059W	RIM11	GPD2	0.848902259	0.161018718	NA
YMR191W_YOR259C	YMR191W	YOR259C	SPG5	RPT4	NA	0.419294619	NA
YMR212C_YGR198W	YMR212C	YGR198W	EFR3	YPP1	0.443935324	0.58505246	-0.51778898
YMR229C_YNL002C	YMR229C	YNL002C	RRP5	RLP7	0.547479938	NA	0.501217073
YMR229C_YOL077C	YMR229C	YOL077C	RRP5	BRX1	0.547479938	0.641755909	0.75201368
YMR229C_YOR206W	YMR229C	YOR206W	RRP5	NOC2	0.547479938	0.782673369	1.046646998
YMR229C_YPL012W	YMR229C	YPL012W	RRP5	RRP12	0.547479938	0.52140855	NA
YMR229C_YPL043W	YMR229C	YPL043W	RRP5	NOP4	0.547479938	0.417997029	NA
YMR239C_YPL190C	YMR239C	YPL190C	RNT1	NAB3	0.535365024	0.105450566	NA
YMR264W_YNL031C	YMR264W	YNL031C	CUE1	HHT2	0.378037271	0.354156414	NA
YMR290C_YNL154C	YMR290C	YNL154C	HAS1	YCK2	NA	0.424434963	NA
YNL002C_YNR053C	YNL002C	YNR053C	RLP7	NOG2	NA	0.424005323	NA
YNL002C_YOR206W	YNL002C	YOR206W	RLP7	NOC2	NA	0.782673369	NA
YNL002C_YPL043W	YNL002C	YPL043W	RLP7	NOP4	NA	0.417997029	NA
YNL002C_YPR016C	YNL002C	YPR016C	RLP7	TIF6	NA	0.290010849	NA
YNL006W_YNL183C	YNL006W	YNL183C	LST8	NPR1	0.477711389	0.519551263	NA
YNL007C_YNL007C	YNL007C	YNL007C	SIS1	SIS1	1.261512219	1.261512219	0.278988015
